month,1,2,3,4,5,6,7,8,9,10,long_short,long,short
2021-01-31,0.04014432,0.040651035,0.02004677,0.035777323,0.04555958,0.06878453,0.081640646,0.0981423,0.117479734,0.15635201,0.11620769,0.15635201,0.04014432
2021-02-28,-0.049124967,0.003958409,0.010908827,0.030134583,0.032239314,0.035247333,0.03871087,0.03520096,0.045194764,0.034574308,0.08369927,0.034574308,-0.049124967
2021-03-31,-0.023750186,0.0017642493,0.019774778,0.025410708,0.03376017,0.034955457,0.031406652,0.031447046,0.03246873,0.014221728,0.037971914,0.014221728,-0.023750186
2021-04-30,-0.029970294,-0.0022814076,0.011086311,0.014451911,0.019631254,0.021529853,0.031821147,0.022705473,0.037259646,0.06177183,0.09174212,0.06177183,-0.029970294
2021-05-31,0.07250819,0.0357935,0.009191947,0.015937889,0.008194268,0.0006441844,0.0032703232,0.0030845986,0.007037215,0.040387746,-0.032120448,0.040387746,0.07250819
2021-06-30,-0.09795641,-0.047703277,-0.0051500057,0.0046505877,0.0003627128,-0.011958691,-0.016640738,-0.015496719,-0.014690336,-0.06901722,0.028939195,-0.06901722,-0.09795641
2021-07-31,0.044403397,0.01654493,0.0070117353,0.01961373,0.018298578,0.020304209,0.016145647,0.018132064,0.016197259,0.01444789,-0.029955506,0.01444789,0.044403397
2021-08-31,-0.051029608,-0.026017852,-0.02144672,-0.035474863,-0.03420807,-0.030304056,-0.027959846,-0.020630388,-0.00858518,-0.008069373,0.042960234,-0.008069373,-0.051029608
2021-09-30,-0.018855916,0.013586537,0.02468779,0.042202137,0.04425936,0.045843914,0.04579864,0.034255963,0.040642064,0.0088965595,0.027752476,0.0088965595,-0.018855916
2021-10-31,-0.10618343,-0.039061423,-0.02397972,-0.028331524,-0.03149725,-0.038079135,-0.035371203,-0.032884985,-0.036702022,-0.08534556,0.020837873,-0.08534556,-0.10618343
2021-11-30,-0.0854012,-0.018040378,0.012035536,0.026890965,0.03603507,0.033783328,0.034279786,0.03954278,0.030757684,-0.015212127,0.07018907,-0.015212127,-0.0854012
2021-12-31,-0.12804657,-0.097499564,-0.0366133,-0.054615173,-0.05308336,-0.044785067,-0.04178572,-0.029304843,-0.043279514,-0.056181736,0.071864836,-0.056181736,-0.12804657
2022-01-31,-0.005260719,-0.0021236124,-0.0028426498,-0.008211025,-0.013154527,-0.009044623,-0.0044959676,-0.004209664,2.7579124e-05,-0.003634263,0.0016264559,-0.003634263,-0.005260719
2022-02-28,0.04239702,0.026219457,0.0057424726,0.009278347,0.007572561,0.011174297,0.015263687,0.014229777,0.013890924,0.031399183,-0.010997836,0.031399183,0.04239702
2022-03-31,-0.15533714,-0.11590512,-0.059114497,-0.06493663,-0.06612377,-0.06943078,-0.084750645,-0.083445214,-0.08620066,-0.110609256,0.044727884,-0.110609256,-0.15533714
2022-04-30,-0.033562645,-0.020725906,-0.004290611,0.008867744,0.006357846,-0.000782982,0.0026396895,-0.003329411,-0.016657127,-0.03887939,-0.0053167455,-0.03887939,-0.033562645
2022-05-31,-0.08647793,-0.055939037,-0.05582766,-0.07521252,-0.07345818,-0.07524285,-0.078558214,-0.08611268,-0.07982017,-0.035186373,0.051291555,-0.035186373,-0.08647793
2022-06-30,0.056067098,0.061912384,0.043709517,0.056727596,0.06109391,0.07190072,0.07862758,0.084445454,0.08986242,0.07500782,0.01894072,0.07500782,0.056067098
2022-07-31,0.028080126,0.0008672598,-0.019317936,-0.025091704,-0.031261873,-0.024050517,-0.023669029,-0.02224867,-0.027045539,0.015818212,-0.012261914,0.015818212,0.028080126
2022-08-31,-0.13453296,-0.09832458,-0.051409103,-0.08886532,-0.090714976,-0.097022735,-0.0931507,-0.101423874,-0.11000206,-0.1571614,-0.022628441,-0.1571614,-0.13453296
2022-09-30,0.0008004861,0.029644728,0.015779516,0.03986875,0.07197574,0.07660219,0.09037855,0.10520234,0.09615436,0.045978345,0.04517786,0.045978345,0.0008004861
2022-10-31,-0.03809031,0.022317959,0.04318851,0.06291915,0.060010426,0.05014464,0.049568083,0.051305614,0.030998671,0.009393411,0.04748372,0.009393411,-0.03809031
2022-11-30,-0.030536158,-0.03556884,-0.020827517,-0.03774679,-0.045263793,-0.042839345,-0.04904737,-0.059271354,-0.050451934,-0.07933483,-0.048798673,-0.07933483,-0.030536158
2022-12-31,0.19040011,0.09591928,0.06777871,0.068803556,0.0719328,0.08718438,0.097276755,0.118752725,0.16738434,0.27088007,0.080479965,0.27088007,0.19040011
2023-01-31,-0.05303552,-0.02043407,-0.022671765,-0.028792502,-0.02905706,-0.02577351,-0.030265916,-0.025892857,-0.038015783,-0.08181301,-0.028777488,-0.08181301,-0.05303552
2023-02-28,-0.06396509,-0.016378144,-0.013427967,-0.0046676286,-0.021060903,-0.028602237,-0.027168885,-0.025933877,-0.049284995,-0.096183024,-0.032217935,-0.096183024,-0.06396509
2023-03-31,0.0026455862,-0.012551126,-0.0026520346,0.0021361788,-0.0033798546,-0.010685727,-0.019422151,-0.019272326,-0.020017387,-0.02228556,-0.024931146,-0.02228556,0.0026455862
2023-04-30,0.015035742,0.0011263085,-0.0072591566,-0.010060864,-0.025287015,-0.023350634,-0.024786495,-0.011310623,-0.010762972,0.0066863066,-0.008349435,0.0066863066,0.015035742
2023-05-31,0.020940555,0.0375486,0.033322893,0.05017028,0.058337294,0.06443633,0.062959805,0.07846938,0.084337786,0.050422475,0.02948192,0.050422475,0.020940555
2023-06-30,0.031822693,0.032252684,0.026409933,0.033742882,0.03790214,0.048280172,0.053271487,0.051097523,0.06560962,0.07462791,0.04280522,0.07462791,0.031822693
2023-07-31,-0.08160828,-0.03415995,-0.023698276,-0.025542853,-0.030595826,-0.032793235,-0.04020507,-0.046917696,-0.065736614,-0.12378269,-0.042174406,-0.12378269,-0.08160828
2023-08-31,-0.06670777,-0.03598917,-0.03159882,-0.04305593,-0.047612432,-0.042109292,-0.04958565,-0.054535255,-0.06376286,-0.102519326,-0.03581156,-0.102519326,-0.06670777
2023-09-30,-0.10254218,-0.034057666,-0.029635323,-0.034075357,-0.040029272,-0.042467218,-0.05197515,-0.059500154,-0.08721445,-0.10615212,-0.0036099404,-0.10615212,-0.10254218
2023-10-31,0.06451956,0.040212277,0.052993987,0.071777515,0.08052027,0.09391249,0.103033714,0.09009675,0.09983687,0.11429442,0.049774855,0.11429442,0.06451956
2023-11-30,0.11508685,0.04398561,0.04262458,0.054161984,0.07412291,0.075644724,0.08733781,0.108210556,0.12680975,0.12138223,0.0062953755,0.12138223,0.11508685
2023-12-31,-0.023599835,-0.014140511,-0.00065693713,0.0008827418,-0.0128788315,-0.022184184,-0.028836243,-0.041253917,-0.03852862,-0.055281825,-0.031681992,-0.055281825,-0.023599835
2024-01-31,0.06572718,0.030406008,0.019148538,0.022371262,0.029268052,0.031947035,0.0383042,0.035063572,0.044129334,0.08941568,0.023688495,0.08941568,0.06572718
2024-02-29,0.0145919025,0.030011559,0.027122695,0.028706724,0.033097405,0.033239342,0.03929653,0.04179975,0.037768856,0.0048448066,-0.009747095,0.0048448066,0.0145919025
2024-03-31,-0.07406046,-0.037357084,-0.02635449,-0.028846772,-0.037444282,-0.04437659,-0.04760345,-0.053704254,-0.05814822,-0.08287912,-0.008818656,-0.08287912,-0.07406046
2024-04-30,0.019080367,0.030090025,0.026616294,0.033163004,0.041574698,0.03762579,0.0404862,0.045403037,0.047223393,0.08929754,0.07021718,0.08929754,0.019080367
2024-05-31,-0.023883484,-0.007899237,-0.00062269426,-0.00071683375,0.007631502,-0.0055425838,-0.016418962,-0.013818129,-0.03073884,-0.07624286,-0.052359372,-0.07624286,-0.023883484
2024-06-30,0.018668182,0.023178358,0.03046738,0.032638382,0.041828755,0.048666343,0.06770318,0.084521115,0.08190179,0.06239734,0.043729156,0.06239734,0.018668182
2024-07-31,-0.042831793,0.00030548574,0.012657476,0.015832877,0.01935024,0.0031929866,-0.0063447105,-0.013867478,-0.020616338,-0.053435955,-0.010604162,-0.053435955,-0.042831793
2024-08-31,-0.012752015,0.009046211,0.015556248,0.015940765,0.017998949,0.022272596,0.01680154,0.013124089,0.037147675,0.041668575,0.05442059,0.041668575,-0.012752015
2024-09-30,0.009924623,0.00072496955,-0.007901828,-0.013689247,-0.021324873,-0.016281774,-0.015436865,-0.013256989,-0.0074072396,0.034942664,0.02501804,0.034942664,0.009924623
2024-10-31,0.037301395,0.0719643,0.040504765,0.039254352,0.056265693,0.06525595,0.07172705,0.0882534,0.07811705,0.08529133,0.04798994,0.08529133,0.037301395
2024-11-30,-0.025559332,-0.009168518,-0.013716137,-0.032986082,-0.04568592,-0.050523195,-0.04382133,-0.043431565,-0.030222844,0.060160663,0.085719995,0.060160663,-0.025559332
